,biological weapon,nuclear,improvised explosive device,nuclear enrichment,hamas,extremism,environmental terrorism,al-qaeda in the islamic maghreb,taliban,abu sayyaf,yemen,agro,islamist,al-qaeda,ammonium nitrate,recruitment,plo,nigeria,suicide bomber,nationalism,jihad,farc,al-qaeda in the arabian peninsula,somalia,euskadi ta askatasuna,hezbollah,palestine liberation front,political radicalism,conventional weapon,irish republican army,afghanistan,terrorism,tamil tigers,iraq,eco-terrorism,terror,dirty bomb,fundamentalism,weapons-grade,chemical weapon,tehrik-i-taliban pakistan,car bomb,suicide attack,al-shabaab
2012-01-31 00:00:00,307,352708,169,1615.0,44523,8605,19.0,20.0,165096,564.0,154155,26694,27427,13343,241.0,173481,38309,717975,12750,8872,44632,50743,38.0,97273,69.0,,2.0,34.0,11.0,215.0,189849,67723,199.0,247917,94.0,458354,1470,6135,707,684,33.0,12516,4265,3525
2012-02-29 00:00:00,237,367383,185,2113.0,40938,8956,21.0,12.0,120139,1043.0,156665,27778,15413,22235,168.0,165220,39041,308077,12920,8168,43463,105394,5.0,101179,65.0,,0.0,4.0,14.0,241.0,244270,62908,387.0,184069,105.0,427717,1491,5604,1088,368,11.0,17358,5431,4081
2012-03-31 00:00:00,239,403947,227,871.0,31523,7620,14.0,36.0,118085,595.0,148884,34341,20831,24641,325.0,173362,45894,341068,14835,8219,51485,78434,36.0,65661,55.0,,10.0,5.0,46.0,202.0,352978,71032,427.0,226372,257.0,421617,1773,8304,1213,453,14.0,23787,4973,2170
2012-04-30 00:00:00,228,327875,227,451.0,21657,10349,25.0,87.0,118807,410.0,147263,34495,30706,23995,257.0,168643,49000,349271,16986,8939,50654,108118,15.0,60093,46.0,,2.0,6.0,2.0,95.0,227240,66821,275.0,196479,93.0,456460,1606,7858,863,240,13.0,10083,4219,1950
2012-05-31 00:00:00,300,378326,622,1285.0,21969,9475,19.0,49.0,97838,397.0,197651,35577,30215,50112,265.0,183285,55268,393300,22019,10476,60988,183155,282.0,64049,57.0,,3.0,11.0,9.0,107.0,336698,85541,378.0,197338,121.0,456039,1759,8775,3523,526,15.0,12772,6492,1721
2012-06-30 00:00:00,326,319514,266,625.0,39468,6472,11.0,11.0,100757,936.0,132923,37886,47183,30448,116.0,183640,55918,563574,20281,12321,63976,66810,40.0,60750,52.0,,4.0,7.0,29.0,639.0,210011,64230,263.0,217386,122.0,458326,1809,6850,773,404,17.0,12839,4403,3469
2012-07-31 00:00:00,373,324057,1031,355.0,29787,7625,25.0,19.0,112914,1719.0,133295,39619,30157,18415,179.0,218308,58363,575740,27970,12226,74015,93111,140.0,79756,51.0,,7.0,5.0,3.0,155.0,238319,100440,409.0,263812,62.0,645526,2336,8053,983,1290,51.0,9203,6106,2274
2012-08-31 00:00:00,343,319198,418,442.0,33770,13472,33.0,16.0,133930,523.0,128899,35084,27478,23113,580.0,279022,62405,803498,15705,13780,78260,131755,7.0,85114,76.0,,1.0,15.0,3.0,131.0,259037,90684,235.0,216893,126.0,561504,1645,9311,1435,899,17.0,12198,4269,1555
2012-09-30 00:00:00,245,359061,290,799.0,29972,18496,38.0,23.0,140367,831.0,186334,38165,48336,35432,301.0,258522,54419,464383,30678,13821,97707,243101,146.0,88981,57.0,,1.0,8.0,130.0,125.0,357177,100463,229.0,273893,80.0,576210,3689,9344,912,331,7.0,22182,10295,3402
2012-10-31 00:00:00,397,392366,474,1407.0,47711,19854,30.0,49.0,282485,687.0,125017,44560,35562,33093,133.0,208401,56997,584119,21213,9912,84876,210286,45.0,64788,79.0,,5.0,16.0,137.0,100.0,305257,112566,339.0,280685,84.0,850465,2108,8787,1257,857,53.0,31441,7045,1962
2012-11-30 00:00:00,388,288755,190,1987.0,745636,12904,8.0,66.0,134147,355.0,113046,40730,30557,16288,304.0,188313,62080,494731,17843,10945,110416,167546,9.0,64210,58.0,,4.0,6.0,157.0,220.0,230044,99089,247.0,232008,595.0,624716,3301,8589,1019,690,99.0,16076,4804,1199
2012-12-31 00:00:00,569,283271,211,766.0,106741,15850,16.0,42.0,144757,309.0,129852,38823,47207,19626,189.0,163433,66792,503089,13444,10890,95694,95289,14.0,56163,39.0,,4.0,11.0,160.0,108.0,244197,87587,267.0,212219,112.0,539516,3036,10066,828,3095,59.0,16395,4203,1594
2013-01-31 00:00:00,326,431344,202,879.0,46619,15467,17.0,110.0,154352,342.0,138383,41827,86757,27474,133.0,248436,67074,720415,12998,11780,93248,165103,33.0,97595,71.0,,2.0,47.0,93.0,360.0,249816,113852,200.0,263405,230.0,666420,2270,12892,740,1568,35.0,14723,6642,3376
2013-02-28 00:00:00,470,552859,192,821.0,45495,10497,38.0,40.0,112814,3198.0,119533,46091,49899,21162,564.0,217527,57984,1116007,27447,10404,88579,225746,122.0,70769,77.0,,8.0,18.0,128.0,102.0,219545,96920,323.0,274809,142.0,592682,2001,15918,870,393,43.0,22973,5765,1897
2013-03-31 00:00:00,341,502755,298,132.0,45396,13979,61.0,105.0,122952,2847.0,123931,47656,33448,28603,138.0,213429,63722,588169,16921,13133,98742,153617,43.0,66567,77.0,,4.0,46.0,224.0,486.0,237869,107067,442.0,498020,141.0,626780,1925,11910,920,5299,44.0,28209,8595,1460
2013-04-30 00:00:00,1902,771292,670,801.0,55585,18426,86.0,101.0,150461,610.0,117896,51023,40725,46587,5202.0,220069,62895,510867,15820,12530,137800,226293,48.0,87580,77.0,,1.0,11.0,111.0,195.0,285163,319160,385.0,350467,136.0,981763,2608,12489,1159,5031,44.0,21152,4286,1850
2013-05-31 00:00:00,574,346525,1009,286.0,34533,26379,92.0,46.0,146387,1319.0,112395,54399,50058,29584,2639.0,263170,66716,583759,12545,15896,111494,181259,30.0,105305,107.0,,1.0,15.0,66.0,214.0,244857,202102,367.0,263386,140.0,741353,1864,12804,1078,2630,61.0,16486,4805,2005
2013-06-30 00:00:00,380,330708,315,352.0,32997,18945,16.0,53.0,194885,626.0,97326,45695,33736,27432,714.0,243549,71446,1117449,11906,10801,105195,132143,56.0,73733,41.0,,5.0,26.0,85.0,139.0,206427,132595,280.0,259256,216.0,623440,2267,12985,1132,4130,30.0,9238,4465,1831
2013-07-31 00:00:00,365,352426,208,60.0,49335,13976,15.0,31.0,160809,442.0,94516,43790,59824,30001,1044.0,227734,75882,626879,12349,17786,106151,149429,109.0,75953,71.0,,1.0,16.0,57.0,165.0,180923,132669,297.0,286514,276.0,696719,2231,11250,1166,1202,15.0,13451,4626,1650
2013-08-31 00:00:00,376,376210,258,432.0,37140,12984,11.0,32.0,108852,554.0,195216,65686,44392,78594,510.0,321484,65293,622341,10301,14720,107785,209593,185.0,97322,99.0,33341.0,2.0,15.0,117.0,132.0,206989,173781,254.0,372545,149.0,751719,2380,11586,1375,22134,14.0,14348,4451,1990
2013-09-30 00:00:00,375,442726,231,505.0,30719,16023,22.0,22.0,165907,658.0,120879,60751,46292,71742,830.0,312364,57046,707175,12498,13836,113292,115354,28.0,116073,66.0,28859.0,1.0,19.0,159.0,159.0,225423,150555,352.0,386988,167.0,751006,1863,11937,1399,20017,53.0,18601,6523,27868
2013-10-31 00:00:00,309,461017,211,1273.0,30890,21446,94.0,12.0,165343,330.0,99922,52348,28360,37209,416.0,245472,61382,892649,19069,14223,92274,146425,46.0,141086,56.0,17221.0,10.0,10.0,63.0,174.0,209394,125575,373.0,300052,325.0,887733,3639,12558,2006,3383,33.0,19457,7610,15999
2013-11-30 00:00:00,265,752727,198,3759.0,36688,14846,51.0,80.0,197871,855.0,101323,46941,23974,24233,496.0,233177,49105,889760,8169,13928,83298,227415,15.0,79539,59.0,25122.0,2.0,19.0,40.0,168.0,259430,105188,701.0,287523,55.0,684380,2987,11805,1896,1668,86.0,10531,3981,3787
2013-12-31 00:00:00,349,344586,267,1551.0,32237,15979,21.0,67.0,94751,1091.0,156100,40858,36377,31485,300.0,191501,48624,719722,28384,14756,84527,164047,76.0,71857,76.0,39795.0,3.0,13.0,51.0,204.0,276289,111436,324.0,328643,119.0,598828,4252,14822,1106,2393,10.0,26200,5744,1726
2014-01-31 00:00:00,337,391444,258,2674.0,43000,15971,52.0,40.0,191119,310.0,108374,43330,27599,59044,252.0,271901,47328,731911,50117,14968,100043,176396,21.0,92916,61.0,39425.0,5.0,23.0,106.0,194.0,261587,149941,451.0,489382,224.0,729233,1938,15297,1611,1372,157.0,26627,10530,4473
2014-02-28 00:00:00,542,354185,568,397.0,27269,15731,34.0,17.0,297170,1579.0,103072,43573,23644,31707,327.0,234891,38870,607238,17144,19312,75997,131970,6.0,79907,67.0,27969.0,3.0,31.0,78.0,149.0,288672,161199,394.0,292185,167.0,644932,2039,14824,1442,959,273.0,24256,4720,4215
2014-03-31 00:00:00,338,449353,379,362.0,49593,16885,40.0,10.0,188633,776.0,107376,56380,26199,29406,344.0,267355,36426,742911,17869,25650,88222,162938,39.0,79479,96.0,27076.0,4.0,26.0,41.0,217.0,351048,181730,375.0,380995,251.0,730939,4028,15578,1786,1022,37.0,24703,6847,4162
2014-04-30 00:00:00,726,374869,296,69.0,80631,24134,22.0,18.0,183552,3788.0,137208,70841,27137,28298,422.0,249577,38966,782826,11091,23545,86018,151609,50.0,79276,62.0,18427.0,3.0,8.0,40.0,239.0,379934,194071,324.0,366790,122.0,682054,2224,14129,1523,1542,60.0,17299,3264,3679
2014-05-31 00:00:00,295,397977,444,354.0,46939,30333,40.0,31.0,144160,1127.0,119973,63960,47579,31946,535.0,260744,40219,1906260,22803,27088,91288,438185,20.0,110467,47.0,16578.0,3.0,20.0,50.0,328.0,446328,248732,735.0,338482,259.0,704749,3661,14975,2562,1012,37.0,20569,5238,7850
2014-06-30 00:00:00,298,353491,292,470.0,137292,46784,20.0,54.0,539759,2819.0,84271,53979,58866,39624,723.0,264687,40599,2955391,27758,27700,123686,377720,26.0,89155,83.0,20281.0,5.0,15.0,35.0,137.0,349808,212156,264.0,2538443,96.0,742402,3005,18121,1302,1246,96.0,14312,7355,10828
2014-07-31 00:00:00,334,457435,489,1000.0,2913031,38068,30.0,66.0,145903,3131.0,90979,52018,49518,29555,297.0,304158,48177,1012483,39126,27249,171487,265227,59.0,101186,36.0,43822.0,3.0,10.0,57.0,147.0,307138,279543,474.0,1058709,56.0,1002305,5219,20585,1841,1216,33.0,16632,7650,7131
2014-08-31 00:00:00,1368,373252,180,530.0,1945641,40444,147.0,2.0,125971,1818.0,102309,47943,78836,30156,169.0,387850,45570,869128,18226,24087,199458,280937,49.0,79462,42.0,32373.0,17.0,32.0,18.0,184.0,247531,286380,231.0,2306444,86.0,984322,3464,17970,2528,5178,15.0,9046,6115,5096
2014-09-30 00:00:00,12,1046,5,,1514,3318,,,164,,606,87,760,106,,1121,101,1044,37,132,387,11501,,254,,259.0,,,,,288,777,,2944,,3038,30,20,6,19,,344,6,71
